code,canonical_title,slug,summary,description,career_family_code,career_level,country_code,industry_context,uk_soc_code,onet_code,esco_uri,verification_status,review_status,reviewed_by,reviewed_at,review_notes,is_active,taxonomy_version
CPX-OCC-DDA-008,Cyber Security Analyst,cyber-security-analyst,Security monitoring risk and response,Security monitoring risk and response,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Security monitoring risk and response,2135,15-1299.04,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-009,Data Analyst,data-analyst,Data analysis and insight reporting,Data analysis and insight reporting,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Data analysis and insight reporting,2133,19-3022.00,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-010,Data Scientist,data-scientist,Statistical modelling and applied data science,Statistical modelling and applied data science,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,specialist,GB,Statistical modelling and applied data science,2113,,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-011,Data Engineer,data-engineer,Data pipelines platforms and integration,Data pipelines platforms and integration,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Data pipelines platforms and integration,2133,15-1243.00,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-012,Machine Learning Engineer,machine-learning-engineer,Machine learning systems and model deployment,Machine learning systems and model deployment,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,specialist,GB,Machine learning systems and model deployment,7122,15-1221.00,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-013,Artificial Intelligence Specialist,artificial-intelligence-specialist,Applied AI solution design and governance,Applied AI solution design and governance,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,specialist,GB,Applied AI solution design and governance,2135,19-3099.00,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-014,Business Intelligence Analyst,business-intelligence-analyst,BI reporting analytics and decision support,BI reporting analytics and decision support,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,BI reporting analytics and decision support,2434,33-3021.06,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-015,Database Administrator,database-administrator,Database administration and performance,Database administration and performance,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Database administration and performance,3133,15-1242.00,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-016,Systems Analyst,systems-analyst,Systems requirements and solution analysis,Systems requirements and solution analysis,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Systems requirements and solution analysis,3132,19-3099.01,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-017,Product Manager,product-manager,Digital product strategy and discovery,Digital product strategy and discovery,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,manager,GB,Digital product strategy and discovery,2432,11-2021.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-018,User Experience Designer,user-experience-designer,User research interaction and service design,User research interaction and service design,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,User research interaction and service design,2141,15-1255.00,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-019,Robotics Engineer,robotics-engineer,Robotics systems and automation,Robotics systems and automation,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,specialist,GB,Robotics systems and automation,2129,17-2199.08,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-020,Automation Engineer,automation-engineer,Automation design and process control,Automation design and process control,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Automation design and process control,5223,17-2121.00,http://data.europa.eu/esco/occupation/bb609566-3ab6-44dd-8f48-cf0b15b96827,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-001,Energy Manager,energy-manager,Energy efficiency and demand management,Energy efficiency and demand management,CPX-FAM-UTILITIES_AND_ENERGY,manager,GB,Energy efficiency and demand management,2152,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-002,Renewable Energy Engineer,renewable-energy-engineer,Renewable generation engineering,Renewable generation engineering,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Renewable generation engineering,2129,,http://data.europa.eu/esco/occupation/0e99c929-364f-4b0a-8a64-2aab42420f00,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-003,Electrical Distribution Engineer,electrical-distribution-engineer,Electricity distribution networks,Electricity distribution networks,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Electricity distribution networks,5214,17-2199.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-004,Transmission Engineer,transmission-engineer,Electricity transmission systems,Electricity transmission systems,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Electricity transmission systems,5242,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-005,Grid Connection Engineer,grid-connection-engineer,Grid connection studies and compliance,Grid connection studies and compliance,CPX-FAM-UTILITIES_AND_ENERGY,specialist,GB,Grid connection studies and compliance,,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-006,Utilities Project Manager,utilities-project-manager,Utilities infrastructure project delivery,Utilities infrastructure project delivery,CPX-FAM-UTILITIES_AND_ENERGY,manager,GB,Utilities infrastructure project delivery,,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-007,Power Plant Operator,power-plant-operator,Power generation operations,Power generation operations,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Power generation operations,8115,51-8013.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-008,Wind Turbine Technician,wind-turbine-technician,Wind generation maintenance and operations,Wind generation maintenance and operations,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Wind generation maintenance and operations,3113,49-9081.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-009,Solar Energy Technician,solar-energy-technician,Solar generation installation and maintenance,Solar generation installation and maintenance,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Solar generation installation and maintenance,,47-2152.04,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-010,Water Treatment Engineer,water-treatment-engineer,Water treatment process engineering,Water treatment process engineering,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Water treatment process engineering,8134,,http://data.europa.eu/esco/occupation/546ec458-e2a4-4cb1-ac17-553d314ac2e2,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-011,Wastewater Engineer,wastewater-engineer,Wastewater networks and treatment,Wastewater networks and treatment,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Wastewater networks and treatment,,,http://data.europa.eu/esco/occupation/9740933e-e04a-41f6-af1f-a6d58c7eb0ec,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-012,Energy Analyst,energy-analyst,Energy data analysis and forecasting,Energy data analysis and forecasting,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Energy data analysis and forecasting,2431,15-2031.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-013,Sustainability Manager,sustainability-manager,Sustainability strategy and reporting,Sustainability strategy and reporting,CPX-FAM-UTILITIES_AND_ENERGY,manager,GB,Sustainability strategy and reporting,2152,13-1199.05,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENE-014,Smart Metering Engineer,smart-metering-engineer,Smart metering systems and field engineering,Smart metering systems and field engineering,CPX-FAM-UTILITIES_AND_ENERGY,practitioner,GB,Smart metering systems and field engineering,5241,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-001,Civil Engineer,civil-engineer,UK infrastructure and civil works,UK infrastructure and civil works,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,UK infrastructure and civil works,5213,17-2081.00,http://data.europa.eu/esco/occupation/44508e7b-f56b-4bfb-9cd6-879838aecd94,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-002,Senior Civil Engineer,senior-civil-engineer,UK infrastructure and civil works,UK infrastructure and civil works,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,senior_practitioner,GB,UK infrastructure and civil works,2129,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-003,Structural Engineer,structural-engineer,Buildings bridges and structural assets,Buildings bridges and structural assets,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Buildings bridges and structural assets,2121,,http://data.europa.eu/esco/occupation/b9296f1a-a68b-4ac7-9904-f2cf1374fbaf,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-004,Geotechnical Engineer,geotechnical-engineer,Ground engineering and earthworks,Ground engineering and earthworks,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,specialist,GB,Ground engineering and earthworks,2121,17-2151.00,http://data.europa.eu/esco/occupation/efc75d4e-dfbf-4178-929c-0ae198801c36,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-005,Transportation Engineer,transportation-engineer,Road rail and mobility infrastructure,Road rail and mobility infrastructure,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Road rail and mobility infrastructure,2121,17-2051.01,http://data.europa.eu/esco/occupation/aad7819e-d62e-41de-a594-9f2be186a6c2,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-006,Rail Engineer,rail-engineer,Rail infrastructure and rolling systems,Rail infrastructure and rolling systems,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Rail infrastructure and rolling systems,,,http://data.europa.eu/esco/occupation/7c2fbf7d-b934-4f62-8167-0ed90fb2a16f,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-007,Highways Engineer,highways-engineer,Roads highways and local authority infrastructure,Roads highways and local authority infrastructure,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Roads highways and local authority infrastructure,2121,,http://data.europa.eu/esco/occupation/5f68c4c3-9d25-48e2-8efc-5471a80fb155,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-008,Bridge Engineer,bridge-engineer,Bridge design inspection and asset management,Bridge design inspection and asset management,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,specialist,GB,Bridge design inspection and asset management,,,http://data.europa.eu/esco/occupation/6293a718-3fcd-433f-a010-0899821a51b7,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-009,Water Engineer,water-engineer,Water infrastructure and flood risk,Water infrastructure and flood risk,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Water infrastructure and flood risk,5223,17-2051.02,http://data.europa.eu/esco/occupation/fcf9024e-277c-43c7-8ec8-8903e5c9c576,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-010,Drainage Engineer,drainage-engineer,Drainage flood and surface-water systems,Drainage flood and surface-water systems,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Drainage flood and surface-water systems,8159,,http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-011,Electrical Engineer,electrical-engineer,Electrical engineering design and assurance,Electrical engineering design and assurance,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Electrical engineering design and assurance,2123,17-2072.01,http://data.europa.eu/esco/occupation/42381741-f3a7-4b26-b35c-da6fad9f1cfd,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-012,Power Systems Engineer,power-systems-engineer,Power networks and electrical systems,Power networks and electrical systems,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,specialist,GB,Power networks and electrical systems,2123,17-2199.11,http://data.europa.eu/esco/occupation/75c5bab4-2546-4ba3-996d-42a9a1bab55d,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-013,Mechanical Engineer,mechanical-engineer,Mechanical systems and plant,Mechanical systems and plant,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Mechanical systems and plant,2122,17-2141.00,http://data.europa.eu/esco/occupation/c44c078d-85e4-40a3-9598-2c333d7a24ca,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-014,Systems Engineer,systems-engineer,Complex engineered systems,Complex engineered systems,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Complex engineered systems,3311,17-2199.07,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-015,Control and Instrumentation Engineer,control-and-instrumentation-engineer,Industrial control and instrumentation,Industrial control and instrumentation,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,specialist,GB,Industrial control and instrumentation,3120,,http://data.europa.eu/esco/occupation/2bb8adee-2b84-4d7b-84f9-0620bc09ada8,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-016,Maintenance Engineer,maintenance-engineer,Maintenance engineering and reliability,Maintenance engineering and reliability,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Maintenance engineering and reliability,8143,,http://data.europa.eu/esco/occupation/6188bf20-5cdb-4702-af72-2cb67ec39810,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-017,Reliability Engineer,reliability-engineer,Asset reliability and maintenance strategy,Asset reliability and maintenance strategy,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,specialist,GB,Asset reliability and maintenance strategy,,17-2112.02,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-018,Engineering Manager,engineering-manager,Engineering teams and technical delivery,Engineering teams and technical delivery,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,manager,GB,Engineering teams and technical delivery,9139,11-9041.00,http://data.europa.eu/esco/occupation/0552ff45-b282-455c-b431-fb05a0e00801,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-019,Project Engineer,project-engineer,Engineering delivery coordination,Engineering delivery coordination,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Engineering delivery coordination,2127,17-2199.10,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-020,Infrastructure Engineer,infrastructure-engineer,Infrastructure systems and assets,Infrastructure systems and assets,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Infrastructure systems and assets,2133,15-1241.01,http://data.europa.eu/esco/occupation/2ef000b1-8058-4e5a-9646-c5d4e7dbfdae,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-021,Asset Engineer,asset-engineer,Infrastructure asset management,Infrastructure asset management,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Infrastructure asset management,,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-ENG-022,Commissioning Engineer,commissioning-engineer,Testing commissioning and handover,Testing commissioning and handover,CPX-FAM-ENGINEERING_AND_INFRASTRUCTURE,practitioner,GB,Testing commissioning and handover,3113,,http://data.europa.eu/esco/occupation/76abbb82-c103-4d7a-a4c0-14dba4d6199a,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-001,Project Manager,project-manager,Cross-sector project delivery,Cross-sector project delivery,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,manager,GB,Cross-sector project delivery,2131,11-9199.10,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-002,Senior Project Manager,senior-project-manager,Complex project delivery,Complex project delivery,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,senior_manager,GB,Complex project delivery,2259,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-003,Programme Manager,programme-manager,Multi-project programme delivery,Multi-project programme delivery,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,senior_manager,GB,Multi-project programme delivery,2440,11-9121.00,http://data.europa.eu/esco/occupation/c94f3565-d987-431f-a46b-6f4e018e0bd7,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-004,Portfolio Manager,portfolio-manager,Portfolio governance and investment prioritisation,Portfolio governance and investment prioritisation,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,senior_manager,GB,Portfolio governance and investment prioritisation,3534,13-2099.01,http://data.europa.eu/esco/occupation/0ecedad1-1144-45ff-83db-a3c4db393036,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-005,Project Coordinator,project-coordinator,Project administration and coordination,Project administration and coordination,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,entry,GB,Project administration and coordination,3221,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-006,Project Planner,project-planner,Project planning and scheduling,Project planning and scheduling,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,practitioner,GB,Project planning and scheduling,3543,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-007,Planning Engineer,planning-engineer,Engineering planning and schedule control,Engineering planning and schedule control,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,practitioner,GB,Engineering planning and schedule control,2481,19-2041.02,http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-008,Project Controls Manager,project-controls-manager,Integrated cost schedule and risk controls,Integrated cost schedule and risk controls,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,manager,GB,Integrated cost schedule and risk controls,,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-009,Cost Engineer,cost-engineer,Cost estimating and cost control,Cost estimating and cost control,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,practitioner,GB,Cost estimating and cost control,3541,13-1051.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-010,Risk Manager,risk-manager,Project and enterprise risk management,Project and enterprise risk management,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,manager,GB,Project and enterprise risk management,2440,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-011,Commercial Manager,commercial-manager,Commercial governance contracts and claims,Commercial governance contracts and claims,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,manager,GB,Commercial governance contracts and claims,3556,11-2022.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-PPM-012,Contracts Manager,contracts-manager,Contract administration and supplier performance,Contract administration and supplier performance,CPX-FAM-PROJECT_AND_PROGRAMME_MANAGEMENT,manager,GB,Contract administration and supplier performance,2455,13-1023.00,,draft,not_reviewed,,,,true,2026.1
